filename,02 DOI,03 Citation,05 Data Type by Source,06 Mode of Collection,07 Type of Instrument,11 Data Collector,12 Data Source,13 Data DOI,15 Data availability statement,17 Code citation
s13423-023-02331-0_1.pdf,10.3758/s13423-023-02331-0,"Izydorczyk, David and Arndt Bröder. ""What is the airspeed velocity of an unladen swallow? modeling numerical judgments of realistic stimuli"". Psychonomic Bulletin & Review 31 (2024): 1078–1092. https://doi.org/10.3758/s13423-023-02331-0",mixed,Experiment,Prolific Academic,authors,Izydorczyk and Bröder (2022),,"All scripts, results, experiment ﬁles, the preregistration of the judgment experiment in Study 2, the data, and stimuli are available at the Open Science Framework (OSF, https://osf. io/yaudb/).",https://osf. io/yaudb/
s13428-024-02370-y.pdf,10.3758/s13428-024-02370-y,"Sarafoglou, Alexandra, Beatrice G. Kuhlmann, Frederik Aust, and Julia M. Haaf. ""Reﬁning Bayesian hierarchical MPT modeling: Integrating prior knowledge and ordinal expectations."" Behavior Research Methods 56 (2024): 6557–6581. https://doi.org/10.3758/s13428-024-02370-y",secondary,Experiment,unclear,not applicable,Bell et al. (2015),,Readers can access the R code to reproduce all analyses (including the prior simulation study and the creation of all figures in our OSF folder at: https://osf.io/bpgc5/.,https://osf.io/bpgc5/
s13428-025-02638-x.pdf,10.3758/s13428-025-02638-x,"Groskurth, Katharina, Nivedita Bhaktha, and Clemens M. Lechner. ""The simulation‑cum‑ROC approach: A new approach to generate tailored cutoffs for fit indices through simulation and ROC analysis."" Behavior Research Methods 57 (2025): 135.",mixed,Simulation,Monte Carlo simulation,authors,GESIS SowiDataNet | datorium repository,"10.7802/2080, 10.7802/1752","The data (Nießen et al., 2018, 2020) to reproduce the analysis and results of this article is publicly available on the GESIS SowiDataNet | datorium repository (https://doi.org/10.7802/2080 and https://doi.org/10.7802/1752). We also programmed a Shiny app, which is available at https://kg11.shinyapps.io/tailoredcutoffs/. All Additional Files from the Supplementary Online Material of this article are available on the Open Science Framework (https://osf.io/vk94q/).","The code to reproduce this article’s simulation, analysis, and results is available in Additional File 1 of the Supplementary Online Material."
s40479-019-0103-6.pdf,10.1186/s40479-019-0103-6,"Hepp, Johanna, Susanne Gebhardt, Pascal J. Kieslich, Lisa M. Störkel, and Inga Niedtfeld. ""Low positive affect display mediates the association between borderline personality disorder and negative evaluations at zero acquaintance."" Borderline Personality Disorder and Emotion Dysregulation 6, no. 4 (2019). https://doi.org/10.1186/s40479-019-0103-6",primary,Experiment,video-material,"JH, SG, and LS",not applicable,,"The datasets generated and analyzed during the current study are available in the OSF repository, https://osf.io/tqbka/.",
s41358-023-00342-w-1.pdf,10.1007/s41358-023-00342-w,"Pink, Sebastian and Johannes Schmidt. 2023. ""Das Wetter ist politisch – Starkregen, Hochwasser und Flut vor der Bundestagswahl 2021."" Zeitschrift für Politikwissenschaft 33: 1–27. doi: 10.1007/s41358-023-00342-w.",secondary,Aggregation,unclear,not applicable,Bundeswahlleiter,,Die Klassiﬁkation der Betroffenheit von Gemeinden ist über das Open Science Framework (OSF) erhält-lich. Die URL lautet https://osf.io/9u78g/. Unter dieser Adresse stehen auch die Syntax und die öffentlich,https://osf.io/9u78g/
s41586-025-09820-3.pdf,10.1038/s41586-025-09820-3,"Nature. 2026. ""Mapping the genetic landscape across 14 psychiatric disorders."" Nature 649: 406-407. doi: 10.1038/s41586-025-09820-3.",secondary,not applicable,not applicable,not applicable,"PGC, dbGaP, Brainspan",,"The data supporting the findings of this study are all publicly available or can be requested for access. Specific download links for various data-sets are directly below. Psychiatric disorder GWAS summary statistics for data from the PGC can be downloaded or requested online (https://www.med.unc.edu/pgc/download-results/). Links to the LD scores and reference panel data for GenomicSEM analyses can be found at GitHub (https://github.com/GenomicSEM/GenomicSEM/wiki). Links to the BaselineLD v.2.2 annotations can be found online (https://data.broadinstitute.org/alkesgroup/LDSCORE). Gene expression datasets from Brainspan can be found online (https://brainspan.org/static/download.html). Multivariate GWAS summary statistics for the latent psychiatric factors in GenomicSEM, including the sensitivity GWAS results, are available online (https://www.med.unc.edu/pgc/download-results/).",
s41588-025-02485-8.pdf,10.1038/s41588-025-02485-8,"Deckert, J., et al. ""Genome-wide association study of major anxiety disorders in 122,341 European-ancestry cases identifies 58 loci and highlights GABAergic signaling."" Nature Genetics 58 (February 2026): 275–288. doi:10.1038/s41588-025-02485-8.",secondary,Aggregation,GWAS publications,not applicable,"Psychiatric Genomics Consortium, 23andMe, Veterans Affairs MVP and FinnGen",,Summary statistics excluding 23andMe are made available on the PGC data-download page (https://pgc.unc.edu/for-researchers/download-results). The replication GWAS summary statistics for the 23andMe data will be made available through 23andMe to qualified researchers under an agreement with 23andMe that protects the privacy of the 23andMe participants. Datasets will be made available at no cost for academic use. Please visit https://research.23andme.com/research-innovation-collaborations for more information and to apply to access the data.,"Additional code for data processing (for example, harmonization of summary statistics) can be found at https://zenodo.org/records/17478061."
s41597-022-01811-7.pdf,10.1038/s41597-022-01811-7,"Buchanan, Erin M., et al. 2023. ""The Psychological Science Accelerator’s COVID-19 rapid-response dataset."" Scientific Data 10:87. https://doi.org/10.1038/s41597-022-01811-7",primary,Self-administered questionnaire,formr,article authors,not applicable,,The anonymized dataset described here is provided in both raw and processed formats to facilitate re-use and further analyses.,"The complete data processing scripts from the study, along with annotations, can be found at https://osf.io/gvw56/. The code for this stage can be found at https://osf.io/shd9a/. The code for this tracking is presented in https://osf.io/uzqdr/"
s41598-024-78291-9.pdf,10.1038/s41598-024-78291-9,"Hellyer, Joshua. ""Facial attractiveness does not modify the perceived trustworthiness of ethnic minority men."" Scientific Reports 14 (2024): 27093. https://doi.org/10.1038/s41598-024-78291-9",secondary,Self-administered questionnaire,German Internet Panel (GIP),not applicable,German Internet Panel (GIP),,The design of this study was pre-registered on OSF [https://osf.io/2djpa].,
s42409-020-00016-1.pdf,10.1186/s42409-020-00016-1,"Nießen, Désirée, Constanze Beierlein, Beatrice Rammstedt, and Clemens M. Lechner. ""An English-language adaptation of the Interpersonal Trust Short Scale (KUSIV3)."" Measurement Instruments for the Social Sciences 2, no. 10 (2020). https://doi.org/10.1186/s42409-020-00016-1",primary,Self-administered questionnaire,web-based survey (using computer-assisted self-administered interviewing [CASI]),respondi AG,not applicable,10.7802/1861,"The dataset supporting the conclusions of this article is available in the GESIS datorium repository, https://doi.org/10.7802/1861.",Additional file 4: R Code for Analysis
s43832-025-00204-2.pdf,10.1007/s43832-025-00204-2,"Purevjav, Bolormaa, Bern Klein, Julian Dierkes, Nadja Kunz, André Xavier, and Suzette McFaul. ""Enhancing water sustainability in the Gobi Desert: processes based on IWRM principles."" Discover Water 5, no. 17 (2025). https://doi.org/10.1007/s43832-025-00204-2",primary,Interview,interview,The researcher,not applicable,,Data supporting the findings of this study are available from the corresponding author upon request.,
s44168-025-00290-x%20%281%29.pdf,10.1038/s44168-025-00290-x,"Mehlenbacher, Ashley Rose, Sara Doody, Roy Brouwer, Justin Steinburg, Carolyn Eckert, Sarah Forst, Chris Kampe, and Brad Mehlenbacher. ""The effect of public trust and engagement on climate communication approaches."" npj Climate Action 4, no. 84 (2025). https://doi.org/10.1038/s44168-025-00290-x",primary,Self-administered questionnaire,web survey,"Canadian online panel firms, commissioned by the SCSRU at the University of Waterloo",not applicable,,,
Scheiber_Dressing_up_JBusEthics_2013.pdf,10.1007/s10551-013-1964-z,"Scheiber, Florian. ""Dressing up for Diffusion: Codes of Conduct in the German Textile and Apparel Industry, 1997–2010."" J Bus Ethics (2013). doi:10.1007/s10551-013-1964-z",mixed,Content coding,MAX.QDA,authors,"Lexis Nexis, BSCI website, Amadeus, Hoppenstedt, German Dun and Bradstreet databases",,,
schlackl-et-al-2026-reactions-by-actual-data-breach-victims-over-time-evidence-from-facebook-s-cambridge-analytica.pdf,10.1287/isre.2023.0391,"Frederic Schlackl, Florian Pethig, Hartmut Hoehle, and Rajiv Sabherwal. ""Reactions by Actual Data Breach Victims over Time: Evidence from Facebook’s Cambridge Analytica Breach."" Information Systems Research (2026). https://doi.org/10.1287/isre.2023.0391",primary,Experiment,survey,authors,not applicable,,Supplemental Material: The online appendix is available at https://doi.org/10.1287/isre.2023.0391.,
schlosser%20h%C3%B6hne%20%282020%29%20embedded%20client%20side%20paradata.pdf,,"Schlosser, Stephan and Jan Karem Höhne. ""ECSP – Embedded Client Side Paradata"". Not applicable, 2020.",no data,not applicable,ECSP,not applicable,not applicable,,This manuscript contains the ECSP codes from 2016 and 2018 and the new codes from 2020 (see Appendix A and B).,
Schoen%20et%20al.%202018_Landtagswahl-Niedersachsen-ZParl_PRE-PRINT.pdf,10.5771/0340-1758-2018-1-22,"Schoen, Harald, Alexander Wuttke, Agatha Kratz, and Maria Preißinger. ""Ein Umschwung in den letzten Wochen des Landtagswahlkampfes: Befunde einer mehrwelligen Wiederholungsbefragung zur niedersächsischen Landtagswahl 2017."" ZParl, vol. 49, no. 1 (2018): 22-39. doi:10.5771/0340-1758-2018-1-22",secondary,Self-administered questionnaire,online-access-panel,not applicable,German Longitudinal Election Study (GLES),,Reproduktionsmaterialien sind bei [LINK ZU DATAVERSE vor Veröffentlichung einfügen] zugänglich.,
Schumm_2012.pdf,,"Schumm, Irene. ""Zwei Jahre Patron-Driven Acquisition an der Universitätsbibliothek Mannheim."" n.d.",primary,Automated data extraction,ebrary-Plattform,UB Mannheim,not applicable,,,
seitz-et-al-2025-disentangling-qualitatively-different-faking-strategies-in-high-stakes-personality-assessments-a.pdf,10.1177/00131644251341843,"Seitz, Timo, O. Emre C. Alagoz, and Thorsten Meiser. ""Disentangling Qualitatively Different Faking Strategies in High-Stakes Personality Assessments: A Mixture Extension of the Multidimensional Nominal Response Model."" Educational and Psychological Measurement 85, no. 6 (2025): 1237–1277. doi:10.1177/00131644251341843",mixed,Simulation,R packages MASS and mirt,authors,Germany-based testing company,,"The JAGS model syntaxes, exemplary R code for estimating the M-MNRM, as well as the instructions, a screenshot, the data, and the analysis script of the pilot studies are available at https://osf.io/vwqf3/",https://osf.io/vwqf3/
seitz-et-al-2025-what-if-applicants-fake-their-responses-modeling-faking-and-response-styles-in-high-stakes-assessments-1.pdf,10.1177/00131644241307560,"Seitz, Timo, Maik Spengler, and Thorsten Meiser. ""“What If Applicants Fake Their Responses?”: Modeling Faking and Response Styles in High-Stakes Assessments Using the Multidimensional Nominal Response Model."" Educational and Psychological Measurement 85, no. 4 (2025): 747–782. doi:10.1177/00131644241307560",mixed,Simulation,"mirt package (Chalmers, 2012) in the R environment",authors,Germany-based testing company,,"The script of the simulation, the material of the pilot study (instructions, a screenshot, data, and analysis code), as well as R code for specifying and estimating the MNRM are available at https://osf.io/f8vgp/.",https://osf.io/f8vgp/
social-security-and-retirement-around-the-world-lessons-from-a-long-term-collaboration.pdf,10.1017/S1474747223000215,"Coile, Courtney, David Wise, Axel Börsch-Supan, Jonathan Gruber, Kevin Milligan, Richard Woodbury, Michael Baker, James Banks, Luc Behaghel, Melika Ben Salem, Paul Bingley, Didier Blanchet, Richard Blundell, Michele Boldrín, Antoine Bozio, Agar Brugiavini, Tabea Bucher-Koenen, Raluca Elena Buia, Eve Caroli, Thierry Debrand, Arnaud Dellis, Raphaël Desmet, Klaas de Vos, Peter Diamond, Carl Emmerson, Irene Ferrari, Anne-Lore Fraikin, Mayu Fujii, Pilar García-Gómez, Sílvia Garcia-Mandicó, Nicolas Goll, Nabanita Datta Gupta, Sergi Jiménez-Martín, Per Johansson, Paul Johnson, Michael Jørgensen, Alain Jousten, Hendrik Jürges, Malene Kallestrup-Lamb, Adriaan Kalwij, Arie Kapteyn, Simone Kohnz, Lisa Laun, Mathieu Lefebvre, Ronan Mahieu, Giovanni Mastrobuoni, Costas Meghir, Akiko Oishi, Takashi Oshio, Mårten Palme, Giacomo Pasini, Peder Pedersen, Louis-Paul Pelé, Franco Peracchi, Sergio Perelman, Pierre Pestieau, Corinne Prost, Simon Rabaté, Johannes Rausch, Muriel Roger, Tammy Schirle, Reinhold Schnabel, Morten Schuth, Satoshi Shimizutani, Sarah Smith, Jean-Philippe Stijns, David Sturrock, Ingemar Svensson, Gemma Tetlow, Lars Thiel, Maxime Tô, Julie Tréguier, Emiko Usui, Judit Vall-Castelló, Emmanuelle Walraet, Guglielmo Weber, and Naohiro Yashiro. ""Social security and retirement around the world: lessons from a long-term collaboration."" Journal of Pension Economics and Finance 2025, no. 24, pp. 8–30. doi:10.1017/S1474747223000215.",secondary,Compilation/Synthesis,methodological template,not applicable,administrative data sets,,,
Soft%20Drink%20Consumption%20and%20Mental%20Health%20Problems_Madoc.pdf,,"Kadel, Philipp, Sven Schneider, and Jutta Mata. ""Soft Drink Consumption and Mental Health Problems: Longitudinal Relations in Children and Adolescents."" ",secondary,Self-administered questionnaire,telephone-based survey,not applicable,KiGGS,,This study was preregistered using the Open Science Framework (OSF): https://osf.io/5798y/,
son-2025-discrepancy-of-social-insurance-between-laws-and-practices-implementation-challenges-of-maternity-leave-in-73.pdf,10.1177/14680181251324061,"Son, Keonhi. ""Discrepancy of social insurance between laws and practices: Implementation challenges of maternity leave in 73 low- and middle-income countries."" Global Social Policy 25, no. 2 (2025): 254–272. doi:10.1177/14680181251324061.",mixed,Compilation/Synthesis,coding scheme,the author,"Historical Database of Maternity Leave (HDML), OECD Global Revenue Statistics Database, World Development Indicators, Worldwide Governance Indicators",,Supplemental material for this article is available online.,
srm_8286_OnlinePDF.pdf,10.18148/srm/2025.v19i1.8286,"Arikan, Zühal, Jörg Dollmann, and Jannes Jacobsen. ""What is a Good Way to Ask About Racist Experiences? Exploring the Difference Between Direct and Indirect Measures."" Survey Research Methods 19, no. 1 (2025): 55-62. https://doi.org/10.18148/srm/2025.v19i1.8286",primary,Self-administered questionnaire,DeZIM.panel,"Deutsches Zentrum für Integrations- und Migrationsforschung, e.V.",not applicable,,Replication Material (Anonymous): https://osf.io/4u68z/?view_only=bfe0d79c2a3740bba07ddba3c035aee6.,https://osf.io/4u68z/?view_only=bfe0d79c2a3740bba07ddba3c035aee6
sw-prepress_sw--1--1-sw223085_sw--1-sw223085.pdf,10.3233/SW-223085,"Portisch, Jan, Michael Hladik, and Heiko Paulheim. ""Background knowledge in ontology matching: A survey"". Semantic Web -1 (2022): 1–55. doi:10.3233/SW-223085.",primary,Content coding,inclusion and exclusion criteria,article authors,not applicable,,All data points and code used for the quantitative analysis of this survey are available online.6 This includes statistical ﬁgures which are also available online in a higher resolution; they can further be re-generated with the provided Python code.,https://github.com/janothan/bk-in-matching-survey/
Synergistic%20Value%20in%20Vertically%20Integrated...2019.pdf,10.1111/poms.13116,"Glenk, G., and S. Reichelstein. ""Synergistic Value in Vertically Integrated Power-to-Gas Energy Systems."" Production and Operations Management (2019), pp. 1–21. doi:10.1111/poms.13116",primary,Simulation,mathematical model,authors,not applicable,,,
The%20Journal%20of%20Finance%20-%202024%20-%20MENKVELD%20-%20Nonstandard%20Errors.pdf,10.1111/jofi.13337,"Menkveld, Albert J., Anna Dreber, Felix Holzmeister, Juergen Huber, Magnus Johannesson, Michael Kirchler, Sebastian Neusüß, Michael Razen, Utz Weitzel, David Abad-Díaz, Menachem (Meni) Abudy, Tobias Adrian, Yacine Ait-Sahalia, Olivier Akmansoy, Jamie T. Alcock, Vitali Alexeev, Arash Aloosh, Livia Amato, Diego Amaya, James J. Angel, Alejandro T. Avetikian, Amadeus Bach, Edwin Baidoo, Gaetan Bakalli, Li Bao, Andrea Barbon, Oksana Bashchenko, Parampreet C. Bindra, Geir H. Bjønnes, Jeffrey R. Black, Bernard S. Black, Dimitar Bogoev, Santiago Bohorquez Correa, Oleg Bondarenko, Charles S. Bos, Ciril Bosch-Rosa, Elie Bouri, Christian Brownlees, Anna Calamia, Viet Nga Cao, Gunther Capelle-Blancard, Laura M. Capera Romero, Massimiliano Caporin, Allen Carrion, Tolga Caskurlu, Bidisha Chakrabarty, Jian Chen, Mikhail Chernov, William Cheung, Ludwig B. Chincarini, Tarun Chordia, Sheung-Chi Chow, Benjamin Clapham, Jean-Edouard Colliard, Carole Comerton-Forde, Edward Curran, Thong Dao, Wale Dare, Ryan J. Davies, Riccardio De Blasis, Gianluca F. De Nard, Fany Declerck, Oleg Deev, Hans Degryse, Solomon Y. Deku, Christophe Desagre, Mathijs A. Van Dijk, Chukwuma Dim, Thomas Dimpfl, Yun Jiang Dong, Philip A. Drummond, Tom Dudda, Teodor Duevski, Ariadna Dumitrescu, Teodor Dyakov, Anne Haubo Dyhrberg, Michał Dzieliński, Asli Eksi, Izidin El Kalak, Saskia Ter Ellen, Nicolas Eugster, Martin D. D. Evans, Michael Farrell, Ester Felez-Vinas, Gerardo Ferrara, El Mehdi Ferrouhi, Andrea Flori, Jonathan T. Fluharty-Jaidee, Sean D. V. Foley, Kingsley Y. L. Fong, Thierry Foucault, Tatiana Franus, Francesco Franzoni, Bart Frijns, Michael Frömmel, Servanna M. Fu, Sascha C. Füllbrunn, Baoqing Gan, Ge Gao, Thomas P. Gehrig, Roland Gemayel, Dirk Gerritsen, Javier Gil-Bazo, Dudley Gilder, Lawrence R. Glosten, Thomas Gomez, Arseny Gorbenko, Joachim Grammig, Vincent Grégoire, Ufuk Güçbilmez, Björn Hagströmer, Julien Hambuckers, Erik Hapnes, Jeffrey H. Harris, Lawrence Harris, Simon Hartmann, Jean-Baptiste Hasse, Nikolaus Hautsch, Xue-Zhong (Tony) He, Davidson Heath, Simon Hediger, Terrence Hendershott, Ann Marie Hibbert, Erik Hjalmarsson, Seth A. Hoelscher, Peter Hoffmann, Craig W. Holden, Alex R. Horenstein, Wenqian Huang, Da Huang, Christophe Hurlin, Konrad Ilczuk, Alexey Ivashchenko, Subramanian R. Iyer, Hossein Jahanshahloo, Naji Jalkh, Charles M. Jones, Simon Jurkatis, Petri Jylhä, Andreas T. Kaeck, Gabriel Kaiser, Arzé Karam, Egle Karmaziene, Bernhard Kassner, Markku Kaustia, Ekaterina Kazak, Fearghal Kearney, Vincent Van Kervel, Saad A. Khan, Marta K. Khomyn, Tony Klein, Olga Klein, Alexander Klos, Michael Koetter, Aleksey Kolokolov, Robert A. Korajczyk, Roman Kozhan, Jan P. Krahnen, Paul Kuhle, Amy Kwan, Quentin Lajaunie, F. Y. Eric C. Lam, Marie Lambert, Hugues Langlois, Jens Lausen, Tobias Lauter, Markus Leippold, Vladimir Levin, Yijie Li, Hui Li, Chee Yoong Liew, Thomas Lindner, Oliver Linton, Jiacheng Liu, Anqi Liu, Guillermo Llorente, Matthijs Lof, Ariel Lohr, Francis Longstaff, Alejandro Lopez-Lira, Shawn Mankad, Nicola Mano, Alexis Marchal, Charles Martineau, Francesco Mazzola, Debrah Meloso, Michael G. Mi, Roxana Mihet, Vijay Mohan, Sophie Moinas, David Moore, Liangyi Mu, Dmitriy Muravyev, Dermot Murphy, Gabor Neszveda, Christian Neumeier, Ulf Nielsson, Mahendrarajah Nimalendran, Sven Nolte, Lars L. Norden, Peter O’Neill, Khaled Obaid, Bernt A. Ødegaard, Per Östberg, Emiliano Pagnotta, Marcus Painter, Stefan Palan, Imon J. Palit, Andreas Park, Roberto Pascual, Paolo Pasquariello, Lubos Pastor, Vinay Patel, Andrew J. Patton, Neil D. Pearson, Loriana Pelizzon, Michele Pelli, Matthias Pelster, Christophe Pérignon, Cameron Pfiffer, Richard Philip, Tomáš Plíhal, Puneet Prakash, Oliver-Alexander Press, Tina Prodromou, Marcel Prokopczuk, Talis Putnins, Ya Qian, Gaurav Raizada, David Rakowski, Angelo Ranaldo, Luca Regis, Stefan Reitz, Thomas Renault, Rex W. Renjie, Roberto Reno, Steven J. Riddiough, Kalle Rinne, Paul Rintamäki, Ryan Riordan, Thomas Rittmannsberger, Iñaki Rodríguez Longarela, Dominik Roesch, Lavinia Rognone, Brian Roseman, Ioanid Roșu, Saurabh Roy, Nicolas Rudolf, Stephen R. Rush, Khaladdin Rzayev, Aleksandra A. Rzeźnik, Anthony Sanford, Harikumar Sankaran, Asani Sarkar, Lucio Sarno, Olivier Scaillet, Stefan Scharnowski, Klaus R. Schenk-Hoppé, Andrea Schertler, Michael Schneider, Florian Schroeder, Norman Schürhoff, Philipp Schuster, Marco A. Schwarz, Mark S. Seasholes, Norman J. Seeger, Or Shachar, Andriy Shkilko, Jessica Shui, Mario Sikic, Giorgia Simion, Lee A. Smales, Paul Söderlind, Elvira Sojli, Konstantin Sokolov, Jantje Sönksen, Laima Spokeviciute, Denitsa Stefanova, Marti G. Subrahmanyam, Barnabas Szaszi, Oleksandr Talavera, Yuehua Tang, Nick Taylor, Wing Wah Tham, Erik Theissen, Julian Thimme, Ian Tonks, Hai Tran, Luca Trapin, Anders B. Trolle, M. Andreea Vaduva, Giorgio Valente, Robert A. Van Ness, Aurelio Vasquez, Thanos Verousis, Patrick Verwijmeren, Anders Vilhelmsson, Grigory Vilkov, Vladimir Vladimirov, Sebastian Vogel, Stefan Voigt, Wolf Wagner, Thomas Walther, Patrick Weiss, Michel Van Der Wel, Ingrid M. Werner, P. Joakim Westerholm, Christian Westheide, Hans C. Wika, Evert Wipplinger. ""Nonstandard Errors."" The Journal of Finance 79, no. 3 (June 2024). doi:10.1111/jofi.13337.",mixed,Experiment,questionnaire,article authors,Deutsche Börse,,"Before starting the #ﬁncap experiment, we ﬁled a pre-analysis plan (PAP) with the Open Science Foundation (OSF; https://osf.io/h82aj/).",
the-impact-of-modeling-decisions-in-statistical-profiling.pdf,10.1017/dap.2023.29,"Bach, Ruben L., Christoph Kern, Hannah Mautner, and Frauke Kreuter. ""The impact of modeling decisions in statistical profiling."" Data & Policy 5 (2023): e32. doi:10.1017/dap.2023.29.",secondary,Automated data extraction,administrative labor market records,not applicable,Sample of Integrated Employment Biographies (SIAB),,Code for replication purposes is available at the following OSF repository: https://osf.io/ke538/?view_only=a1f08b62b18a4ef49b8fd97d5158c53c.,https://osf.io/ke538/?view_only=a1f08b62b18a4ef49b8fd97d5158c53c.
the-pleasure-principle-why-some-people-develop-a-taste-for-politics-evidence-from-a-preregistered-experiment.pdf,10.1017/pls.2020.18,"Wuttke, Alexander. ""The pleasure principle: Why (some) people develop a taste for politics: Evidence from a preregistered experiment."" Politics and the Life Sciences 40, no. 1 (2021): 19-37. doi:10.1017/pls.2020.18",primary,Experiment,UniPark,Respondi Panel,not applicable,,"The survey questionnaire and the stimulus were programmed using the software UniPark (files attached as Supplementary Material). Based on simulated responses on the survey questionnaire, an analysis pipeline was pre-preregistered, see https://osf.io/24xyq and Supplement 6.",https://osf.io/24xyq
The_semtinel_platform.pdf,,"Eckert, Kai, Heiner Stuckenschmidt, and Magnus Pfeffer. ""The Semtinel Platform: New Approaches for Thesaurus Assessment."" TCDL Bulletin 5, no. 1 (Spring 2009).",no data,not applicable,not applicable,not applicable,not applicable,,,
Tsehaye%20%282023%29%20Light-weights%20placed%20right.pdf,10.3389/fpsyg.2023.1122129,"Tsehaye, Wintai. ""Light-weights placed right: post-field constituents in heritage German."" Frontiers in Psychology 14 (2023): 1122129. doi: 10.3389/fpsyg.2023.1122129.",secondary,Recording,RUEG 0.4.0 corpus,not applicable,RUEG 0.4.0 corpus,10.5281/zenodo.5808870,The data presented in this article is openly accessible via the RUEG corpus: https://zenodo.org/record/5808870.,
Unfolding%20GAL-TAN%20the%20multi-dimensional%20nature%20of%20public%20opinion%20in%20Western%20Europe-1.pdf,10.1080/01402382.2025.2466117,"Kurella, Anna-Sophie and Milena Rapp. ""Unfolding GAL-TAN: the multi-dimensional nature of public opinion in Western Europe."" West European Politics 49, no. 3 (2026): 841–866. doi:10.1080/01402382.2025.2466117",secondary,Compilation/Synthesis,questionnaire,not applicable,"European Values Study (EVS), Comparative Manifesto Project (CMP), Eurostat, UNHCR, OECD",,"Supplemental data for this article can be accessed online at https://doi.org/10.1080/01402382.20
25.2466117.",
wenz-et-al-2024-measuring-smartphone-use-survey-versus-digital-behavioral-data.pdf,10.1177/08944393231224540,"Wenz, Alexander, Florian Keusch, and Ruben L. Bach. ""Measuring Smartphone Use: Survey Versus Digital Behavioral Data."" Social Science Computer Review 43, no. 5 (2025): 1030–1049. doi:10.1177/08944393231224540.",primary,Automated data extraction,research app,Respondi/Bilendi,not applicable,10.7802/2524,The survey data are available from the GESIS Data Archive for the Social Sciences at https://doi.org/10.7802/2524. The digital behavioral data are available upon request from Ruben Bach at r.bach@uni-mannheim.de.,https://doi.org/10.17605/OSF.IO/RV4YX
when-europe-hits-the-subnational-authorities-the-transposition-of-eu-directives-in-germany-between-1990-and-2018.pdf,10.1017/S0143814X20000276,"Paasch, Jana and Christian Stecker. ""When Europe hits the subnational authorities: the transposition of EU directives in Germany between 1990 and 2018."" Journal of Public Policy (2020), page 1 of 20. doi:10.1017/S0143814X20000276",primary,Automated data extraction,EUR-Lex,article authors,not applicable,10.7910/DVN/JUVCNJ,Data Availability Statement. The replication files for the empirical data analysis can be found on the Harvard Dataverse: https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JUVCNJ.,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/JUVCNJ
zmaa014.pdf,10.1093/jcmc/zmaa014,"Schemer, Christian, Philipp K. Masur, Stefan Geiß, Philipp Müller, and Svenja Schäfer. ""The Impact of Internet and Social Media Use on Well-Being: A Longitudinal Analysis of Adolescents Across Nine Years."" Journal of Computer-Mediated Communication 00 (2020): 1–21. doi:10.1093/jcmc/zmaa014.",secondary,Self-administered questionnaire,questionnaire,not applicable,German Family Panel pairfam,10.4232/pairfam.5678.10.0.0,"An OSF page provides analysis scripts (R code) and additional analyses: https://osf.io/fdp39/. 

More information about the study and access to the data can be found here: https://www.pairfam.de/.",https://osf.io/fdp39/
zmad039.pdf,10.1093/jcmc/zmad039,"Lane, Daniel S., Hannah Overbye-Thompson, and Emilija Gagrçin. ""The story of social media: evolving news coverage of social media in American politics, 2006–2021."" Journal of Computer-Mediated Communication 29, no. 1 (2023): zmad039. https://doi.org/10.1093/jcmc/zmad039",primary,Automated data extraction,Factiva and Nexis Uni news databases,authors,not applicable,,"Data analyzed in this study are not openly accessible due to copyright law, but can be accessed via Factiva and Nexis Uni databases for those with relevant credentials.",
00220027221109797.pdf,10.1177/00220027221109797,"Steinert, Christoph Valentin. ""The Impact of Domestic Surveillance on Political Imprisonment: Evidence from the German Democratic Republic."" Journal of Conflict Resolution 67, no. 1 (2023): 38–65. doi:10.1177/00220027221109797",primary,Content coding,archival document,authors,not applicable,,,
1-s2.0-S0010482522011234-main.pdf,10.1016/j.compbiomed.2022.106415,"Bombieri, Marco, Marco Rospocher, Simone Paolo Ponzetto, and Paolo Fiorini. ""Machine understanding surgical actions from intervention procedure textbooks."" Computers in Biology and Medicine 152 (2023): 106415. https://doi.org/10.1016/j.compbiomed.2022.106415",empty_response,empty_response,empty_response,empty_response,empty_response,,"Finally, we publicly release1 all the trained models and evaluation materials, contributing the research community a wealth of resources to support further research and development activities on the topic.",https://gitlab.com/altairLab/surgical_srl
1-s2.0-S0148296325002322-main.pdf,10.1016/j.jbusres.2025.115409,"Burkhart, Davide and Christoph Bode. ""Force majeure in business relationships."" Journal of Business Research 195 (2025): 115409. https://doi.org/10.1016/j.jbusres.2025.115409",empty_response,empty_response,empty_response,empty_response,empty_response,,The authors do not have permission to share data.,
1-s2.0-S0276562421000512-main.pdf,https://doi.org/10.1016/j.rssm.2021.100631,"Dollmann, Jörg and Irena Kogan. ""COVID-19–associated discrimination in Germany."" Research in Social Stratification and Mobility 74 (2021): 100631. https://doi.org/10.1016/j.rssm.2021.100631",secondary,Self-administered questionnaire,COVID-19 add-on survey (CILS4COVID),not applicable,Children of Immigrant Longitudinal Survey in Four European Countries (CILS4EU),,,
